,alumnus,organisation,place,country
0,Krister Bykvist,Jesus College,Oxford,United Kingdom
1,Regina Miftakhova,Kazan Federal University,Kazan,Russia
2,Peter W. Eklund,IT University of Copenhagen,Copenhagen Municipality,Denmark
3,Julian Togelius,IT University of Copenhagen,Copenhagen Municipality,Denmark
4,Clas Linnman,Massachusetts General Hospital,Boston,United States of America
5,Clas Linnman,Massachusetts General Hospital,Massachusetts,United States of America
6,Nalini Vudattu,Massachusetts General Hospital,Boston,United States of America
7,Nalini Vudattu,Massachusetts General Hospital,Massachusetts,United States of America
8,Alexander Nyström,University Medical Center Freiburg,Freiburg im Breisgau,Germany
9,Jan Anderson,Australian National University,Canberra,Australia
10,Hans Bielenstein,Australian National University,Canberra,Australia
11,Göran Malmqvist,Australian National University,Canberra,Australia
12,Göran Malmqvist,Australian National University,Canberra,Australia
13,Rickard du Rietz,Australian National University,Canberra,Australia
14,Jian Wu,"University of California, Davis",Davis,United States of America
15,Pamela Ronald,"University of California, Davis",Davis,United States of America
16,Lars F. Berglund,"University of California, Davis",Davis,United States of America
17,Jorge Andrade,University of Chicago,Chicago,United States of America
18,Åke W. Sjöberg,University of Chicago,Chicago,United States of America
19,Carl-Gustaf Rossby,University of Chicago,Chicago,United States of America
20,Humberto Fernández Morán,University of Chicago,Chicago,United States of America
21,Ada Yonath,University of Chicago,Chicago,United States of America
22,Marco Beretta,University of Bologna,Bologna,Italy
23,Jannis Kallinikos,University of Bologna,Bologna,Italy
24,Brian Harold Mason,Smithsonian Institution,"Washington, D.C.",United States of America
25,Martin Rundkvist,University of Łódź,Łódź,Poland
26,Kaveh Madani,University of Central Florida,Orlando,United States of America
27,Peter Bengtson,Heidelberg University,Heidelberg,Germany
28,Hinrich Bitter-Suermann,Heidelberg University,Heidelberg,Germany
29,Ebba Witt-Brattström,Humboldt University of Berlin,Berlin,Germany
30,Eilhard Mitscherlich,Humboldt University of Berlin,Berlin,Germany
31,Heinrich Gustav Magnus,Humboldt University of Berlin,Berlin,Germany
32,J Peter Svensson,Humboldt University of Berlin,Berlin,Germany
33,Emma Hagström Molin,Humboldt University of Berlin,Berlin,Germany
34,Aris Fioretos,Humboldt University of Berlin,Berlin,Germany
35,Johan Andreas Murray,University of Göttingen,Göttingen,Germany
36,Johann Beckmann,University of Göttingen,Göttingen,Germany
37,August Ludwig von Schlözer,University of Göttingen,Göttingen,Germany
38,Guangzheng Zuo,University of Potsdam,Potsdam,Germany
39,Kálmán Vánky,University of Tübingen,Tübingen,Germany
40,Peter Beyerhaus,University of Tübingen,Tübingen,Germany
41,Aleksander Radler,University of Jena,Jena,Germany
42,Lennart Olsson,University of Jena,Jena,Germany
43,Nathan Söderblom,Leipzig University,Leipzig,Germany
44,Helena Flam,Leipzig University,Leipzig,Germany
45,Oskar Klein,Leiden University,Leiden,Netherlands
46,Sada Mire,Leiden University,Leiden,Netherlands
47,Stina Syvänen,Leiden University,Leiden,Netherlands
48,Daniel Lundin,University of Kiel,Kiel,Germany
49,Elis Strömgren,University of Kiel,Kiel,Germany
50,Fredrik Ljungström,TU Dresden,Dresden,Germany
51,Xia Shen,University of Edinburgh,City of Edinburgh,United Kingdom
52,James Kendall,University of Edinburgh,City of Edinburgh,United Kingdom
53,Sofie Ährlund-Richter,University of Edinburgh,City of Edinburgh,United Kingdom
54,Olof Ljungström,California Institute of Technology,Pasadena,United States of America
55,Heinz-Otto Kreiss,California Institute of Technology,Pasadena,United States of America
56,Nina Shulumba,California Institute of Technology,Pasadena,United States of America
57,Olle Hellman,California Institute of Technology,Pasadena,United States of America
58,Karl Henrik Johansson,California Institute of Technology,Pasadena,United States of America
59,Heinz-Otto Kreiss,California Institute of Technology,Pasadena,United States of America
60,Victor Abrahamsson,California Institute of Technology,Pasadena,United States of America
61,Lars Johanson,Johannes Gutenberg University Mainz,Mainz,Germany
62,Paul Jozef Crutzen,Johannes Gutenberg University Mainz,Mainz,Germany
63,Stellan Arvidson,University of Greifswald,Greifswald,Germany
64,Dilmurat Yusuf,University of Vienna,Vienna,Austria
65,Abdul Karim Bangura,American University,"Washington, D.C.",United States of America
66,Aija Priedīte,University of Münster,Münster,Germany
67,Kamrul Hasan,University of Utah,Salt Lake City,United States of America
68,Magnus Egerstedt,"University of California, Berkeley",Berkeley,United States of America
69,Sven-Gösta Nilsson,"University of California, Berkeley",Berkeley,United States of America
70,Karl Henrik Johansson,"University of California, Berkeley",Berkeley,United States of America
71,Sven Liljeblad,"University of California, Berkeley",Berkeley,United States of America
72,Jaan Puhvel,"University of California, Berkeley",Berkeley,United States of America
73,Otto J. Maenchen-Helfen,"University of California, Berkeley",Berkeley,United States of America
74,Dan H. Yaalon,Hebrew University of Jerusalem,Jerusalem,Israel
75,Erik Ringmar,London School of Economics and Political Science,London,United Kingdom
76,Erik Ringmar,London School of Economics and Political Science,City of Westminster,United Kingdom
77,Jannis Kallinikos,London School of Economics and Political Science,London,United Kingdom
78,Jannis Kallinikos,London School of Economics and Political Science,City of Westminster,United Kingdom
79,Heinz-Otto Kreiss,"University of California, Los Angeles",Los Angeles,United States of America
80,Björn Engquist,"University of California, Los Angeles",Los Angeles,United States of America
81,Bengt O. Muthén,"University of California, Los Angeles",Los Angeles,United States of America
82,Marjorie Harness Goodwin,"University of California, Los Angeles",Los Angeles,United States of America
83,Julie Ault,"University of California, Los Angeles",Los Angeles,United States of America
84,Tamas Bartfai,"University of California, Los Angeles",Los Angeles,United States of America
85,Fritiof S. Sjöstrand,"University of California, Los Angeles",Los Angeles,United States of America
86,Björn Engquist,"University of California, Los Angeles",Los Angeles,United States of America
87,Heinz-Otto Kreiss,"University of California, Los Angeles",Los Angeles,United States of America
88,Per Olov Enquist,"University of California, Los Angeles",Los Angeles,United States of America
89,Axel Leijonhufvud,"University of California, Los Angeles",Los Angeles,United States of America
90,Yang Liu,Sun Yat-sen University,Guangzhou,People's Republic of China
91,Claes G. Ryn,The Catholic University of America,"Washington, D.C.",United States of America
92,Ulf Grahn,The Catholic University of America,"Washington, D.C.",United States of America
93,Ulf Grahn,The Catholic University of America,"Washington, D.C.",United States of America
94,Gustaf Arrhenius,University of California,Oakland,United States of America
95,Otto J. Maenchen-Helfen,University of California,Oakland,United States of America
96,Isabelle Dussauge,Uppsala University,Uppsala Municipality,Sweden
97,Einar Stenhagen,Uppsala University,Uppsala Municipality,Sweden
98,Kurt Nordström,Uppsala University,Uppsala Municipality,Sweden
99,Stig Lundquist,Uppsala University,Uppsala Municipality,Sweden
100,Fredrik Enquist,Uppsala University,Uppsala Municipality,Sweden
101,Måns Ehrenberg,Uppsala University,Uppsala Municipality,Sweden
102,Pedram Ghamgosar,Uppsala University,Uppsala Municipality,Sweden
103,Pär Ågerfalk,Uppsala University,Uppsala Municipality,Sweden
104,Göran Arnqvist,Uppsala University,Uppsala Municipality,Sweden
105,Martin I Lind,Uppsala University,Uppsala Municipality,Sweden
106,Kaj Nystrom,Uppsala University,Uppsala Municipality,Sweden
107,Henry Ohlsson,Uppsala University,Uppsala Municipality,Sweden
108,Björn Olsen,Uppsala University,Uppsala Municipality,Sweden
109,Mohammad Fazlhashemi,Uppsala University,Uppsala Municipality,Sweden
110,Jan-Erling Bäckvall,Uppsala University,Uppsala Municipality,Sweden
111,Sten Anders Hjalmar Sjögren,Uppsala University,Uppsala Municipality,Sweden
112,Tord Palander,Uppsala University,Uppsala Municipality,Sweden
113,Dietrich Müller-Hillebrand,Uppsala University,Uppsala Municipality,Sweden
114,Hannes Alfvén,Uppsala University,Uppsala Municipality,Sweden
115,Harald Hammarström,Uppsala University,Uppsala Municipality,Sweden
116,Mats Leijon,Uppsala University,Uppsala Municipality,Sweden
117,Mats Almgren,Uppsala University,Uppsala Municipality,Sweden
118,Lars Bäckman,Uppsala University,Uppsala Municipality,Sweden
119,Eva Åkesson,Uppsala University,Uppsala Municipality,Sweden
120,Kerstin Sahlin,Uppsala University,Uppsala Municipality,Sweden
121,Bertil Holmlund,Uppsala University,Uppsala Municipality,Sweden
122,Claes-Göran Granqvist,Uppsala University,Uppsala Municipality,Sweden
123,Stefan Bertilsson,Uppsala University,Uppsala Municipality,Sweden
124,Anne-Marie Landtblom,Uppsala University,Uppsala Municipality,Sweden
125,Solveig Jülich,Uppsala University,Uppsala Municipality,Sweden
126,Sven Widmalm,Uppsala University,Uppsala Municipality,Sweden
127,Gunnar A. Niklasson,Uppsala University,Uppsala Municipality,Sweden
128,Fredrik J Swartling,Uppsala University,Uppsala Municipality,Sweden
129,Fredrik Wärnberg,Uppsala University,Uppsala Municipality,Sweden
130,Lili Milani,Uppsala University,Uppsala Municipality,Sweden
131,Anders Larsson,Uppsala University,Uppsala Municipality,Sweden
132,Ulf Göransson,Uppsala University,Uppsala Municipality,Sweden
133,Adam A. Strömstedt,Uppsala University,Uppsala Municipality,Sweden
134,Raviteja Inturi,Uppsala University,Uppsala Municipality,Sweden
135,Lars Berglund,Uppsala University,Uppsala Municipality,Sweden
136,Markus Sällman Almén,Uppsala University,Uppsala Municipality,Sweden
137,Samuel Lampa,Uppsala University,Uppsala Municipality,Sweden
138,Nils Brage Nordlander,Uppsala University,Uppsala Municipality,Sweden
139,Petter Asp,Uppsala University,Uppsala Municipality,Sweden
140,Juha Merilä,Uppsala University,Uppsala Municipality,Sweden
141,Noel D. Broadbent,Uppsala University,Uppsala Municipality,Sweden
142,Nils G. Lundqvist,Uppsala University,Uppsala Municipality,Sweden
