,universityLabel,placeLabel,countryLabel,yearFounded
0,Lund University,Lund Municipality,Sweden,1666
1,Karolinska Institute,Solna Municipality,Sweden,1810
2,Stockholm University,Stockholm Municipality,Sweden,1878
3,Luleå University of Technology,Luleå Municipality,Sweden,1971
4,Norrland's University Hospital,Umeå Municipality,Sweden,1907
5,Örebro University,Örebro Municipality,Sweden,1977
6,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden,1977
7,University of Borås,Borås,Sweden,1977
8,Linnaeus University,Växjö Municipality,Sweden,2010
9,Linnaeus University,Kalmar Municipality,Sweden,2010
10,Karlstad University,Karlstad Municipality,Sweden,1977
11,Mid Sweden University,Jämtland County,Sweden,1993
12,Mid Sweden University,Västernorrland County,Sweden,1993
13,Linköping University,Linköping Municipality,Sweden,1975
14,Chalmers University of Technology,Gothenburg Municipality,Sweden,1829
15,Royal Institute of Technology,Stockholm Municipality,Sweden,1827
16,Umeå University,Umeå Municipality,Sweden,1965
17,National Defence University,Helsinki,Sweden,1993
18,Växjö University,Växjö Municipality,Sweden,1977
19,Centre for Information Logistics,Ljungby Municipality,Sweden,2001
20,Högskolan för scen och musik,Gothenburg,Sweden,2005
21,Red Cross University College of Nursing,Stockholm,Sweden,1867
22,Sophiahemmet University College,Stockholm,Sweden,1884
