,alumnus,place,country,university
0,Johan Stensson Rothman,Växjö Parish,Sweden,Uppsala University
1,Eli Heckscher,Stockholm,Sweden,Uppsala University
2,Knut Wicksell,Maria Magdalena parish,Sweden,Uppsala University
3,Erik Acharius,Gävle Heliga Trefaldighets,Sweden,Lund University
4,Erik Acharius,Gävle Heliga Trefaldighets,Sweden,Uppsala University
5,Gunnar Ekelöf,Stockholm,Sweden,Uppsala University
6,Esaias Tegnér,By parish,Sweden,Lund University
7,Gustaf Fröding,Alsters herrgård,Sweden,Uppsala University
8,Jakob Ulvsson,Uppland,Sweden,Uppsala University
9,Johan Wilhelm Dalman,Näsby församling,Sweden,Lund University
10,Albert Lindhagen,Askeby parish,Sweden,Uppsala University
11,Haquin Spegel,Ronneby församling,Sweden,Lund University
12,Lars Gustafsson,Västerås,Sweden,Uppsala University
13,Gunnar Helén,Vingåker,Sweden,Uppsala University
14,Per Teodor Cleve,Stockholm City,Sweden,Uppsala University
15,Håkan Nesser,Kumla,Sweden,Uppsala University
16,Eric Hultén,"Halla socken, Södermanland",Sweden,Stockholm University
17,Eric Hultén,"Halla socken, Södermanland",Sweden,Lund University
18,Erik Gustaf Geijer,Ransäter,Sweden,Uppsala University
19,Olaus Petri,Örebro,Sweden,Uppsala University
20,Claes Adelsköld,Alingsås landsförsamling,Sweden,Chalmers University of Technology
21,Per Alström,Sweden,Sweden,Uppsala University
22,Carl Munters,Vansbro Municipality,Sweden,Royal Institute of Technology
23,Bertil Lundman,Malmö,Sweden,Uppsala University
24,Ingrid Gärde Widemar,Jönköping,Sweden,Stockholm University
25,Anna Troberg,Landskrona,Sweden,Uppsala University
26,Birgitta Ohlsson,Linköping,Sweden,Stockholm University
27,Gustaf Oskar Andersson Malme,Stora Malms församling,Sweden,Uppsala University
28,C. Johan Masreliez,Stockholm,Sweden,Royal Institute of Technology
29,Olof Hermelin,Filipstad,Sweden,Uppsala University
30,Johan Emanuel Wikström,Vänersborg,Sweden,Uppsala University
31,Esbjörn Svensson,Västerås,Sweden,Stockholm University
32,Anders Sparrman,Lena församling,Sweden,Uppsala University
33,Carl Gustav Rehnskiöld,Stralsund,Germany,Lund University
34,Ebba Witt-Brattström,Stockholm,Sweden,Stockholm University
35,Lars Levi Læstadius,Jäkkvik,Sweden,Uppsala University
36,Wilhelm Stenhammar,Stockholm,Sweden,Uppsala University
37,Carl Jakob Sundevall,Ystad Municipality,Sweden,Lund University
38,Viveca Sten,Stockholm,Sweden,Stockholm University
39,Annie Lööf,Maramö,Sweden,Lund University
40,David Enskog,Västra Ämtervik,Sweden,Uppsala University
41,Otto Nordenskjöld,Jönköping County,Sweden,Uppsala University
42,Kurt Atterberg,Domkyrkoförsamlingen in Göteborg,Sweden,Royal Institute of Technology
43,Anna Hedh,Uppsala,Sweden,Uppsala University
44,Gunnel Vallquist,Sankt Matteus,Sweden,Uppsala University
45,Katarina Mazetti,Stockholm,Sweden,Lund University
46,Anders Nygren,Haga parish,Sweden,Lund University
47,Hialmar Rendahl,Jönköping,Sweden,Stockholm University
48,Kajsa Kling,Åre,Sweden,Mid Sweden University
49,Frans G. Bengtsson,Tåssjö församling,Sweden,Lund University
50,Per Daniel Amadeus Atterbom,Åsbo församling,Sweden,Uppsala University
51,Maria Wetterstrand,Eskilstuna,Sweden,University of Gothenburg
52,Stig Strömholm,Boden,Sweden,Uppsala University
53,Otto J. Maenchen-Helfen,Vienna,Austria,University of Gothenburg
54,Count Sigvard Bernadotte of Wisborg,Drottningholm Palace,Sweden,Uppsala University
55,Lars Fredrik Nilson,Skönberga församling,Sweden,Uppsala University
56,August Sohlman,Svennevads församling,Sweden,Uppsala University
57,Lennart Koskinen,Helsinki,Finland,Uppsala University
58,Magnus Stenbock,Stockholm City,Sweden,Uppsala University
59,Mikael Håfström,Lund,Sweden,Stockholm University
60,Malin Moström,Örnsköldsvik,Sweden,Umeå University
61,Antje Jackelén,Herdecke,Germany,Lund University
62,Antje Jackelén,Herdecke,Germany,Uppsala University
63,Annika Falkengren,Bangkok,Thailand,Stockholm University
64,Erik Ivar Fredholm,Stockholm,Sweden,Royal Institute of Technology
65,Erik Ivar Fredholm,Klara Parish,Sweden,Royal Institute of Technology
66,Erik Ivar Fredholm,Stockholm,Sweden,Stockholm University
67,Erik Ivar Fredholm,Klara Parish,Sweden,Stockholm University
68,Erik Ivar Fredholm,Stockholm,Sweden,Uppsala University
69,Erik Ivar Fredholm,Klara Parish,Sweden,Uppsala University
70,Rudolf Kjellén,Torsö församling,Sweden,Uppsala University
71,Nicodemus Tessin the Younger,Stockholm,Sweden,Uppsala University
72,Nicodemus Tessin the Younger,Nyköping,Sweden,Uppsala University
73,Carl Alexander Clerck,Stockholm City,Sweden,Uppsala University
74,Göran Therborn,Kalmar,Sweden,Lund University
75,Anna Tibaijuka,Muleba District,Tanzania,Uppsala University
76,Mathias Steuchius,Norrtälje,Sweden,Uppsala University
77,Bengt Anders Euphrasén,Habo,Sweden,Uppsala University
78,Torbjörn Caspersson,Motala,Sweden,Stockholm University
79,Ewa Björling,Ekerö Municipality,Sweden,Karolinska Institute
80,Frida Östberg,Örnsköldsvik,Sweden,Umeå University
81,Nick Bostrom,Helsingborg,Sweden,University of Gothenburg
82,Cecilia Wikström,Svanstein,Sweden,Uppsala University
83,Liisa Jaakonsaari,Oulu,Finland,Stockholm University
84,Lena Hjelm-Wallén,Sala,Sweden,Uppsala University
85,Karl Johan Åström,Östersund,Sweden,Royal Institute of Technology
86,Pernilla Stalfelt,Uppsala,Sweden,Uppsala University
87,Anders Södergren,Söderhamn,Sweden,Mid Sweden University
88,Claes Christian Olrog,Danderyd Municipality,Sweden,Stockholm University
89,Claes Christian Olrog,Danderyd Municipality,Sweden,Uppsala University
90,Anders Gustaf Ekeberg,Hedvig Eleonora församling,Sweden,Uppsala University
91,Carl Gustaf Mosander,Kalmar,Sweden,Karolinska Institute
92,Axel Fredrik Cronstedt,Nykvarn Municipality,Sweden,Uppsala University
93,Claes-Ingvar Lagerkvist,Nässjö,Sweden,Uppsala University
94,Carl Wilhelm Oseen,Lund,Sweden,Lund University
95,Lars Vilks,Helsingborg,Sweden,Lund University
96,Harald Cramér,Hedvig Eleonora församling,Sweden,Stockholm University
97,Ernst Alexanderson,Uppsala Cathedral Assembly,Sweden,Royal Institute of Technology
98,Leif Silbersky,Malmö,Sweden,Lund University
99,Germund Dahlquist,Uppsala,Sweden,Stockholm University
100,Anders Jahan Retzius,Kristianstads parish,Sweden,Lund University
101,Anders Johan von Höpken,Stockholm City,Sweden,Uppsala University
102,Anders Lilliehöök,Riga,Latvia,Uppsala University
103,Anders Lindstedt,Sundborns,Sweden,Lund University
104,Anders Tengbom,Stockholm,Sweden,Royal Institute of Technology
105,Anders Wiman,Hammarlöv,Sweden,Lund University
106,Anders Wejryd,Falköping,Sweden,Uppsala University
107,Andreas Berlin,Nora,Sweden,Uppsala University
