,alumnus,organisation,place,country
0,Daniel Lorenz Salthenius,University of Königsberg,Kaliningrad,Russia
1,Magnus Martensson,University at Buffalo,New York,United States of America
2,Bernhard Schmidt,Hamburg-Bergedorf Observatory,Bergedorf,Germany
3,Bernhard Schmidt,Hamburg-Bergedorf Observatory,Bergedorf,Germany
4,Svante Pääbo,Max Planck Institute for Evolutionary Anthropology,Leipzig,Germany
5,Gustav Nyström,EMPA,canton of Zürich,Switzerland
6,Gustav Nyström,EMPA,Dübendorf,Switzerland
7,Sven Kristensson,German Archaeological Institute,Berlin,Germany
8,Jonathan Chico,Forschungszentrum Jülich,Jülich,Germany
9,Ashis Biswas,University of Bayreuth,Bayreuth,Germany
10,Dipti Halder,University of Bayreuth,Bayreuth,Germany
11,Marin Jovanovic,Copenhagen Business School,Copenhagen Municipality,Denmark
12,Anna K Swan,Oak Ridge National Laboratory,Oak Ridge,United States of America
13,PerMagnus Lindborg,Nanyang Technological University,Singapore,Singapore
14,Sara Sandin,Nanyang Technological University,Singapore,Singapore
15,Sara Sandin,Nanyang Technological University,Singapore,Singapore
16,Kajsa Hallberg Adu,Ashesi University,Eastern Region,Ghana
17,Tomas Bergström,Saint Louis University,Missouri,United States of America
18,Lars Östlund,Saint Louis University,Missouri,United States of America
19,Áskell Löve,University of Colorado Boulder,Boulder,United States of America
20,Chuen Seng Tan,National University of Singapore,Singapore,Singapore
21,Rajeev Prabhakar,University of Miami,Coral Gables,United States of America
22,Tim Canova,University of Miami,Coral Gables,United States of America
23,Wendell A. Mordy,University of Miami,Coral Gables,United States of America
24,Claes Wahlestedt,University of Miami,Coral Gables,United States of America
25,David Marcusson-Clavertz,Pennsylvania State University,State College,United States of America
26,Bertil Lindblad,Uppsala Astronomical Observatory,Uppsala Municipality,Sweden
27,Anders Jonas Ångström,Uppsala Astronomical Observatory,Uppsala Municipality,Sweden
28,Ingrid E.M. Edlund-Berry,University of Georgia,Athens,United States of America
29,Lukáš Čajánek,Masaryk University,Brno,Czech Republic
30,Martin Stervander,University of Oregon,Eugene,United States of America
31,Agneta Herlitz,Max Planck Institute for Human Development,Charlottenburg-Wilmersdorf,Germany
32,Staffan Normark,Washington University in St. Louis,St. Louis,United States of America
33,Christel Nielsen,Skåne University Hospital,Malmö Municipality,Sweden
34,Christel Nielsen,Skåne University Hospital,Lund Municipality,Sweden
35,Johan Tham,Skåne University Hospital,Malmö Municipality,Sweden
